DateTime,AddedIPs,RemovedIPs
1555718923,97,84
1555720829,117,95
1555722749,74,104
1555724672,106,90
1555726586,212,110
1555728500,95,130
1555730434,87,113
1555732330,58,107
1555734268,92,96
1555736185,89,98
1555738092,73,74
1555740034,65,88
1555741968,195,73
1555743860,187,83
1555745778,79,550
1555747701,90,104
1555749633,88,102
1555751532,61,120
1555753466,74,119
1555755378,79,103
1555757298,89,107
1555759230,92,106
1555761136,1852,86
1555763079,2447,105
1555764974,1663,96
1555767141,1785,107
1555769303,1744,115
1555771211,1738,83
1555773141,1677,98
1555775050,147,98
1555776992,72,92
1555778898,89,102
1555780807,74,69
1555782730,85,91
1555784684,65,199
1555786592,100,96
1555788493,88,107
1555790464,80,225
1555792360,64,70
1555794271,74,76
1555796190,103,98
1555798351,108,216
1555800821,96,127
1555802674,70,84
1555804574,79,96
1555806496,86,93
1555808450,88,111
1555810353,85,93
1555812274,84,250
1555814172,113,133
1555816101,87,97
1555818011,72,69
1555819935,79,87
1555821880,106,115
1555823769,62,77
1555825690,83,76
1555827653,87,63
1555829540,94,255
1555831450,95,449
1555833396,433,97
1555835290,118,82
1555837231,92,82
1555839156,239,68
1555841083,104,75
1555842971,80,96
1555845155,238,106
1555847056,337,1186
1555849004,2934,2308
1555850960,3026,2024
1555852849,2847,1583
1555854779,99,1788
1555856650,97,1518
1555858570,92,1988
1555860504,85,803
1555863377,115,116
1555865291,87,82
1555867206,85,80
1555869153,118,88
1555871053,110,67
1555872966,92,101
1555874913,93,90
1555876824,92,79
1555878730,107,62
1555880687,112,78
1555882569,258,105
1555884490,109,90
1555886435,90,72
1555888330,71,91
1555890250,66,76
1555892424,1173,97
1555894330,1623,86
1555896276,1337,100
1555898190,1573,91
1555900096,1176,95
1555902984,1816,137
1555904915,1228,80
1555906842,1111,85
1555908738,1140,80
1555910653,872,71
1555912597,1170,85
1555914493,996,71
1555916434,282,103
1555918377,69,77
1555920273,677,81
1555922171,89,75
1555924104,97,131
1555926029,82,239
1555927934,94,82
1555929864,100,89
1555931806,95,166
1555933706,156,576
1555935657,268,3086
1555937547,193,2824
1555939463,201,2636
1555941389,210,104
1555943293,158,92
1555945265,160,83
1555947152,128,77
1555949325,142,86
1555951215,113,92
1555953145,91,85
1555955056,103,92
1555956990,115,93
1555958930,113,83
1555960830,118,92
1555962743,100,91
1555964663,158,100
1555966588,112,112
1555968497,111,195
1555970430,119,155
1555972335,109,94
1555974279,127,67
