DateTime,AddedIPs,RemovedIPs
1555769720,4,0
1555770020,52,0
1555770320,8,0
1555775717,48,0
1555779021,6,0
1555779318,0,1
1555779919,39,0
1555782622,18,0
1555783518,1,0
1555784418,47,0
1555784718,34,0
1555787418,0,1
1555788017,6,0
1555788917,4,0
1555789820,0,1
1555791619,2,0
1555792518,6,0
1555796117,1,0
1555797020,81,0
1555798217,7,0
1555800621,9,0
1555802418,10,0
1555806019,6,1
1555806319,7,0
1555806918,1,0
1555810517,3,0
1555812020,0,1
1555812618,26,0
1555815020,1,0
1555815919,2,0
1555817719,15,0
1555821320,43,0
1555822219,1,0
1555823119,4,0
1555824018,78,0
1555828519,28,0
1555829421,48,0
1555831519,0,1
1555832419,12,0
1555833021,20,1
1555833318,60,0
1555833622,53,0
1555834818,1,0
1555836018,19,0
1555841118,1,1
1555842320,5,0
1555842918,33,0
1555843218,28,0
1555846520,12,0
1555850420,1,0
1555851021,132,0
1555854621,3,0
1555857319,0,1
1555858520,34,0
1555859119,0,1
1555859420,1,0
1555860019,34,0
1555862718,2,0
1555863618,13,0
1555866617,64,0
1555868418,14,0
1555869019,4,0
1555875617,1,0
1555876517,35,0
1555879218,17,0
1555879818,15,0
1555881018,1,0
1555881619,5,0
1555882517,30,0
1555886418,153,0
1555886718,315,0
1555887018,6,0
1555887619,14,0
1555890620,3,0
1555891819,3,0
1555896017,40,0
1555896916,1,0
1555897819,4,0
1555901718,2,0
1555902317,31,0
1555905918,2,0
1555907120,27,0
1555910417,3,0
1555910722,0,1
1555911619,35,0
1555915219,48,0
1555916118,33,0
1555920318,1,0
1555921217,45,0
1555923317,59,0
1555923620,1,0
1555924518,46,2
1555924818,3,1
1555925419,0,1
1555926619,5,0
1555927519,1,0
1555929317,0,1
1555931119,0,1
1555934117,3,0
1555934718,193,0
1555937422,45,0
1555937719,44,0
1555938618,2,0
1555939219,9,0
1555941019,47,0
1555941317,10,0
1555941919,43,0
1555942817,2,0
1555943421,0,1
1555944917,0,2
1555947020,7,1
1555947619,4,1
1555950019,12,0
1555951219,31,0
1555952118,5,0
1555954221,0,1
1555955419,0,1
1555957220,50,0
1555958420,7,0
1555958720,47,0
1555959319,3,0
1555961717,61,0
1555962919,4,0
1555964720,19,0
1555965318,0,1
1555966519,0,2
1555968018,21,0
1555968918,5,0
1555973419,82,0
1555978818,96,0
1555979717,219,0
1555980918,19,0
1555983317,1,0
1555984820,28,0
1555985118,1,0
1555989018,4,0
1555989617,52,0
1555990818,2,0
1555993221,29,0
1555994118,52,0
1555995018,2,0
1555995618,0,1
1555996518,0,1
1556006118,151,0
1556006718,11,0
1556011219,62,0
1556012118,1,0
